ids	values
9606.ENSP00000257013	0.0045383
9606.ENSP00000363840	0.0045653116
9606.ENSP00000274242	0.004591163
9606.ENSP00000177694	0.00459313
9606.ENSP00000289902	0.00466806
9606.ENSP00000322061	0.004709447
9606.ENSP00000238156	0.004732167
9606.ENSP00000371169	0.004746452
9606.ENSP00000375268	0.0047497
9606.ENSP00000364902	0.004772236
9606.ENSP00000368411	0.0047743195
9606.ENSP00000326598	0.0047807572
9606.ENSP00000385739	0.0047857957
9606.ENSP00000225665	0.004806003
9606.ENSP00000345374	0.0048745982
9606.ENSP00000264005	0.0048768604
9606.ENSP00000364639	0.0048982184
9606.ENSP00000338806	0.00490148
9606.ENSP00000356953	0.0049116006
9606.ENSP00000376943	0.004924657
9606.ENSP00000354957	0.0049591884
9606.ENSP00000351008	0.0049595595
9606.ENSP00000379563	0.0049701636
9606.ENSP00000264246	0.0050026346
9606.ENSP00000358092	0.0050227568
9606.ENSP00000346148	0.0050788135
9606.ENSP00000493252	0.0051152497
9606.ENSP00000407497	0.0051214118
9606.ENSP00000290583	0.005162862
9606.ENSP00000398803	0.005165832
9606.ENSP00000378483	0.0051700994
9606.ENSP00000484732	0.005197815
9606.ENSP00000449270	0.00521357
9606.ENSP00000357594	0.005270121
9606.ENSP00000358953	0.005272708
9606.ENSP00000433205	0.0053274133
9606.ENSP00000339659	0.005349118
9606.ENSP00000394163	0.0053600245
9606.ENSP00000343890	0.005369085
9606.ENSP00000222718	0.005385583
9606.ENSP00000232461	0.005403714
9606.ENSP00000254691	0.00541624
9606.ENSP00000347195	0.005420901
9606.ENSP00000490556	0.005444044
9606.ENSP00000265843	0.005466546
9606.ENSP00000266000	0.005490173
9606.ENSP00000457810	0.0055339513
9606.ENSP00000368927	0.0055485
9606.ENSP00000432305	0.0055691064
9606.ENSP00000385885	0.005584765
9606.ENSP00000444408	0.005629221
9606.ENSP00000316589	0.0056317598
9606.ENSP00000471299	0.0056721
9606.ENSP00000346729	0.0056853113
9606.ENSP00000306123	0.0056854067
9606.ENSP00000457539	0.005689542
9606.ENSP00000388825	0.0057106162
9606.ENSP00000393978	0.005729287
9606.ENSP00000294189	0.0057453336
9606.ENSP00000413520	0.00580499
9606.ENSP00000496301	0.005821406
9606.ENSP00000370214	0.005821516
9606.ENSP00000485112	0.005867654
9606.ENSP00000332062	0.0058849296
9606.ENSP00000480573	0.0059007374
9606.ENSP00000272602	0.0059143594
9606.ENSP00000305595	0.0059222607
9606.ENSP00000361337	0.0059408257
9606.ENSP00000455064	0.0059596575
9606.ENSP00000356912	0.0059773293
9606.ENSP00000342267	0.0059899013
9606.ENSP00000306754	0.006003117
9606.ENSP00000474071	0.0060647
9606.ENSP00000278840	0.006087688
9606.ENSP00000295269	0.006107048
9606.ENSP00000366098	0.0061578876
9606.ENSP00000264658	0.0061952355
9606.ENSP00000408910	0.00619845
9606.ENSP00000322524	0.0062347413
9606.ENSP00000219169	0.006243902
9606.ENSP00000390630	0.0062467433
9606.ENSP00000410910	0.0062597473
9606.ENSP00000325508	0.0062725684
9606.ENSP00000225927	0.00627456
9606.ENSP00000365817	0.006276198
9606.ENSP00000290158	0.006285248
9606.ENSP00000330389	0.006300245
9606.ENSP00000312618	0.0063274633
9606.ENSP00000332750	0.0063657747
9606.ENSP00000315386	0.0063865567
9606.ENSP00000330730	0.0063982303
9606.ENSP00000358795	0.0064011416
9606.ENSP00000377401	0.0064769886
9606.ENSP00000419249	0.006497286
9606.ENSP00000434399	0.0065370514
9606.ENSP00000379241	0.0065561505
9606.ENSP00000399403	0.006562833
9606.ENSP00000403925	0.006574054
9606.ENSP00000268797	0.0066564633
9606.ENSP00000368964	0.0066775
9606.ENSP00000264249	0.0066902977
9606.ENSP00000351740	0.0066921525
9606.ENSP00000454229	0.0066981995
9606.ENSP00000220514	0.006801225
9606.ENSP00000291565	0.006802807
9606.ENSP00000462099	0.0068117226
9606.ENSP00000368253	0.0068228
9606.ENSP00000395259	0.006831225
9606.ENSP00000359022	0.0068816417
9606.ENSP00000385410	0.006972832
9606.ENSP00000271764	0.007018425
9606.ENSP00000264157	0.0070822607
9606.ENSP00000251643	0.0070894537
9606.ENSP00000351671	0.0071845143
9606.ENSP00000240874	0.007191467
9606.ENSP00000385899	0.0072796135
9606.ENSP00000351811	0.007280184
9606.ENSP00000366380	0.007293277
